,year,war,games,age,ts_mil,as_mil,contract_length
0,1997,1.5,161.0,30.0,55.0,10.0,5.0
1,1998,4.3,56.285714285714285,30.714285714285715,59.18571428571429,6.873095285714285,5.142857142857143
2,1999,4.67,102.3,31.5,70.63,9.7308635,5.8
3,2000,4.8999999999999995,108.07692307692308,31.923076923076923,75.52307692307691,11.426585615384615,6.076923076923077
4,2001,4.8052631578947365,96.42105263157895,30.842105263157894,98.01578947368421,12.246283263157896,6.631578947368421
5,2002,4.712,115.56,31.88,95.572,12.48078168,6.4
6,2003,4.437931034482758,117.41379310344827,31.862068965517242,95.51379310344828,13.213300551724139,6.517241379310345
7,2004,3.8838709677419354,114.83870967741936,32.16129032258065,94.35161290322581,12.890399419354837,6.419354838709677
8,2005,3.2485714285714287,110.0,32.08571428571429,92.35714285714286,13.352684171428573,6.257142857142857
9,2006,3.4857142857142858,114.77142857142857,31.885714285714286,85.92857142857143,13.207188200000001,5.9714285714285715
10,2007,3.4302325581395348,111.93023255813954,31.441860465116278,85.0813953488372,12.37475988372093,6.0
11,2008,3.260377358490566,105.35849056603773,32.0377358490566,94.93462264150943,13.37405420754717,6.188679245283019
12,2009,3.2232142857142856,99.92857142857143,31.75,90.19589285714287,13.941633357142857,5.910714285714286
13,2010,2.4566037735849053,91.09433962264151,31.81132075471698,92.95537735849057,14.773278528301885,5.830188679245283
14,2011,2.5296296296296297,95.51851851851852,31.74074074074074,94.5163888888889,15.11147825925926,5.777777777777778
15,2012,2.3774193548387097,82.58064516129032,31.79032258064516,102.30620967741935,13.620967741935484,5.903225806451613
16,2013,2.4615384615384617,85.49230769230769,31.16923076923077,106.728,14.598676923076923,6.1692307692307695
17,2014,2.274285714285714,92.0,30.785714285714285,109.1355,15.130999271428573,6.242857142857143
18,2015,2.339240506329114,95.69620253164557,31.17721518987342,116.01645569620253,15.136372506329113,6.3164556962025316
19,2016,2.275,95.5340909090909,31.477272727272727,119.125,16.725232136363637,6.25
20,2017,1.9755319148936168,87.29787234042553,31.70212765957447,110.98989361702127,16.172366276595746,6.0
21,2018,1.9954022988505746,90.86206896551724,32.160919540229884,112.94310344827585,18.02986736781609,5.919540229885057
22,2019,1.7247191011235956,85.97752808988764,31.865168539325843,123.32921348314606,16.5587832247191,6.168539325842697
23,2020,0.9536585365853659,33.926829268292686,31.78048780487805,129.4701219512195,20.218926024390242,6.048780487804878
24,2021,2.1670886075949367,84.58227848101266,32.139240506329116,140.1525316455696,19.6608885443038,6.341772151898734
25,2022,2.0642857142857145,81.24489795918367,31.683673469387756,131.78877551020406,17.87289619387755,6.173469387755102
26,2023,1.6479674796747967,64.35772357723577,31.341463414634145,132.53197830894308,17.10462618699187,6.203252032520325
