,rank,year,contract_start,contract_end,contract_length,age,games,war,league_r,bats_r,throws_r,team_sr,team_pr,position_r,ts_mil,as_mil,clusters,cluster
76,19,2023,2020,2026,7,33,43,0.1,0,0,0,12,12,5,245.0,38.571428,0,light pink
77,19,2020,2020,2026,7,31,2,-0.2,1,0,0,29,29,1,245.0,35.0,0,light pink
78,19,2021,2020,2026,7,32,5,0.0,1,0,0,29,29,1,245.0,35.0,0,light pink
79,19,2022,2020,2026,7,33,1,-0.3,1,0,0,29,29,1,245.0,35.0,0,light pink
80,21,2012,2012,2021,10,32,154,4.8,0,0,0,12,12,10,240.0,12.0,0,light pink
81,21,2013,2012,2021,10,33,99,1.6,0,0,0,12,12,10,240.0,16.0,0,light pink
82,21,2014,2012,2021,10,34,159,3.9,0,0,0,12,12,10,240.0,23.0,0,light pink
83,21,2015,2012,2021,10,35,157,3.0,0,0,0,12,12,10,240.0,24.0,0,light pink
84,21,2016,2012,2021,10,36,152,1.5,0,0,0,12,12,10,240.0,25.0,0,light pink
85,21,2017,2012,2021,10,37,149,-1.8,0,0,0,12,12,10,240.0,26.0,0,light pink
86,21,2018,2012,2021,10,38,117,0.3,0,0,0,12,12,10,240.0,27.0,0,light pink
87,21,2019,2012,2021,10,39,131,0.3,0,0,0,12,12,10,240.0,28.0,0,light pink
88,21,2020,2012,2021,10,40,39,0.0,0,0,0,12,12,10,240.0,29.0,0,light pink
